TrainingType,BrainTypeVegan,SurvivorPercentageVegan,SurvivorAvgAgeVegan,BrainTypeCarnivore,SurvivorPercentageCarnivore,SurvivorAvgAgeCarnivore
veg_POCA__carn_POCA,POCA,0.800000000,8687.434000000,POCA,0.733333349,9086.667000000
veg_POCA__carn_POCA,POCA,0.633333300,7787.067000000,POCA,0.666666700,9372.267000000
veg_POCA__carn_POCA,POCA,0.666666700,7823.766600000,POCA,0.733333349,8767.000000000
veg_POCA__carn_POCA,POCA,0.766666651,8460.767000000,POCA,0.466666669,8013.933000000
veg_POCA__carn_POCA,POCA,0.700000000,7921.666500000,POCA,0.133333340,7207.000000000
veg_POCA__carn_POCA,POCA,0.700000000,8519.900000000,POCA,0.666666700,9230.200000000
veg_POCA__carn_POCA,POCA,0.733333349,8605.533000000,POCA,0.533333361,8426.200000000
veg_POCA__carn_POCA,POCA,0.800000000,9020.767000000,POCA,0.466666669,7848.266600000
veg_POCA__carn_POCA,POCA,0.700000000,8267.066000000,POCA,0.600000000,8979.333000000
veg_POCA__carn_POCA,POCA,0.733333349,8949.300000000,POCA,0.466666669,7751.666500000
veg_POCA__carn_POCA,POCA,0.833333300,9030.767000000,POCA,0.866666700,9251.267000000
veg_POCA__carn_POCA,POCA,0.666666700,8267.300000000,POCA,1.000000000,10000.000000000
veg_POCA__carn_POCA,POCA,0.700000000,8338.134000000,POCA,0.400000000,7371.200000000
veg_POCA__carn_POCA,POCA,0.800000000,9009.900000000,POCA,0.666666700,9196.467000000
veg_POCA__carn_POCA,POCA,0.666666700,7839.666500000,POCA,0.533333361,8526.400000000
veg_POCA__carn_POCA,POCA,0.800000000,8381.500000000,POCA,0.333333343,7466.266600000
veg_POCA__carn_POCA,POCA,0.766666651,8274.900000000,POCA,0.733333349,9426.200000000
veg_POCA__carn_POCA,POCA,0.766666651,8670.400000000,POCA,0.666666700,9107.467000000
veg_POCA__carn_POCA,POCA,0.700000000,7996.733400000,POCA,0.600000000,9238.400000000
veg_POCA__carn_POCA,POCA,0.566666663,7805.467000000,POCA,0.333333343,8616.733000000
veg_POCA__carn_POCA,POCA,0.766666651,8384.134000000,POCA,0.733333349,8948.800000000
veg_POCA__carn_POCA,POCA,0.766666651,8564.634000000,POCA,0.733333349,9233.066000000
veg_POCA__carn_POCA,POCA,0.700000000,7972.166500000,POCA,0.533333361,8083.533000000
veg_POCA__carn_POCA,POCA,0.800000000,8567.434000000,POCA,0.800000000,8971.467000000
veg_POCA__carn_POCA,POCA,0.800000000,8836.500000000,POCA,0.733333349,9094.134000000
veg_POCA__carn_POCA,POCA,0.733333349,8524.934000000,POCA,0.800000000,8938.400000000
veg_POCA__carn_POCA,POCA,0.766666651,8993.167000000,POCA,0.933333337,9520.934000000
veg_POCA__carn_POCA,POCA,0.700000000,8573.866000000,POCA,0.866666700,9719.934000000
veg_POCA__carn_POCA,POCA,0.766666651,8289.600000000,POCA,0.533333361,7485.200000000
veg_POCA__carn_POCA,POCA,0.833333300,8864.134000000,POCA,0.733333349,9045.066000000
veg_POCA__carn_POCA,POCA,0.866666700,9375.767000000,POCA,0.800000000,8983.467000000
veg_POCA__carn_POCA,POCA,0.766666651,8525.800000000,POCA,0.533333361,8282.800000000
